index,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AK,12.13,11.56,11.77,11.06,10.28,11.21,10.45,10.13,9.55,9.25,8.87,8.56,8.41,8.11,7.79,7.43,7.05,7.55,8.1,7.87,7.67,7.46,7.24,7.83,8.29,8.11,7.85,7.63,7.51,9.3,9.06,8.76,8.49,8.25,7.95,7.97,8.5,8.24,8.08,7.96,7.83,8.83,9.75
AL,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
AR,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.21,6.95,7.31,7.96,7.71,7.56,7.45,7.33,7.57,8.0
AZ,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.79,7.67,8.09,7.96,7.82,7.97,8.01,7.98,8.13,8.05
CA,9.71,9.34,9.67,9.87,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,8.2,7.78,7.47,7.25,7.04,6.86,6.67,6.48,7.08,7.56,8.26,7.99,8.44,8.98,8.78,8.55,8.27,8.01,8.66,8.89,8.92,8.78,8.51,8.34,8.22,8.09,9.09,10.0
CO,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.9,7.8,8.12,7.96,7.83,7.96,7.99,8.09,8.31,8.31
CT,9.76,9.34,9.67,9.12,9.76,9.59,9.06,8.87,8.36,8.1,7.76,7.49,7.36,7.1,7.58,8.2,7.78,7.47,7.28,7.07,6.89,6.7,6.51,7.11,7.6,8.11,8.55,8.65,8.91,8.97,8.99,8.7,8.78,8.83,8.5,8.92,9.05,8.78,8.6,8.47,8.79,9.24,9.6
DC,9.71,9.34,9.67,9.08,9.73,9.56,9.0,9.87,9.67,9.37,8.98,8.67,8.51,8.21,9.81,9.36,8.88,8.52,8.27,8.03,8.48,8.24,8.01,8.57,9.03,8.83,8.55,8.31,8.18,8.0,7.79,8.09,8.31,8.08,7.78,8.42,9.05,8.78,8.6,8.47,8.34,9.59,10.5
DE,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.45,7.56,7.4,7.85,8.31,8.18,8.0,7.79,7.53,7.3,7.67,7.95,7.97,7.96,7.71,7.56,7.45,7.33,7.82,8.25
FL,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,7.6,7.7,7.55,8.04,7.96,7.71,7.99,8.0,8.02,8.13,8.05
GA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
HI,9.71,10.67,10.09,9.48,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,7.79,7.43,7.05,6.76,7.25,8.69,8.48,8.24,8.01,7.83,7.71,7.54,7.29,7.09,7.65,8.13,7.92,7.66,8.01,8.37,8.06,8.09,7.96,7.71,7.56,7.45,7.33,7.82,8.5
IA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,7.05,7.47,7.93,7.7,7.51,7.3,7.09,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,8.06,8.09,7.96,7.71,7.56,7.45,7.33,7.32,7.25
ID,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
IL,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.97,7.96,7.71,7.5,8.34,8.64,8.78,8.78,8.6,8.47,8.34,8.33,8.25
IN,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
KS,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
KY,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
LA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
MA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.48,7.38,7.24,6.87,6.68,7.25,7.04,6.86,6.67,7.24,7.83,7.71,7.54,8.34,9.12,8.98,8.78,8.55,8.27,8.01,8.66,8.89,8.92,8.78,8.51,8.34,8.22,8.09,9.09,10.0
MD,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.1,6.83,7.31,7.96,7.71,7.56,7.45,7.33,8.08,8.25
ME,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.67,7.75,7.69,7.38,7.24,7.05,6.76,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,7.65,8.13,7.92,7.78,7.71,7.79,7.78,8.09,8.23,7.98,7.82,7.7,7.58,7.57,7.5
MI,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,8.02,7.95,8.25,8.12,7.87,7.71,7.6,7.48,8.23,8.5
MN,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,7.18,7.43,7.23,7.47,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,7.3,7.1,6.83,7.31,7.96,7.71,7.56,7.45,7.33,8.08,9.0
MO,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.5,7.39,7.86,7.96,7.71,7.56,7.55,7.58,7.57,7.65
MS,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
MT,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.1,6.95,7.7,7.96,7.82,7.97,8.01,7.98,8.13,8.05
NC,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.1,6.83,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
ND,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.22,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
NE,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,8.08,9.0
NH,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.27,7.18,7.04,6.87,6.76,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,7.22,8.09,7.96,7.71,7.56,7.45,7.33,7.32,7.25
NJ,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,8.36,8.15,7.93,7.7,7.53,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,7.3,8.25,7.95,7.97,7.96,7.71,7.56,7.45,8.34,8.46,8.38
NM,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,7.22,8.36,8.23,7.98,7.82,7.7,7.58,7.57,7.5
NV,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.1,7.03,7.64,8.28,8.78,8.6,8.47,8.34,8.33,8.25
NY,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,7.35,8.01,8.25,7.95,7.97,7.96,7.71,7.56,7.45,8.09,8.83,9.0
OH,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.9,7.78,8.14,8.01,7.87,8.02,8.06,8.04,8.18,8.1
OK,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
OR,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,7.78,8.34,8.1,7.87,7.67,7.46,7.24,8.2,8.81,9.34,9.03,8.78,8.65,8.97,8.93,8.88,8.9,9.0,8.84,9.37,9.22,9.04,9.17,9.19,9.2,9.34,9.25
PA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.77,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.21,7.95,7.97,7.96,7.71,7.56,7.45,7.33,7.32,7.25
RI,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.48,7.38,7.72,7.78,7.47,7.59,7.37,7.18,6.99,6.79,7.68,7.56,7.4,7.85,8.31,8.18,8.0,8.55,8.27,8.01,8.54,8.22,8.25,8.12,7.87,7.71,7.96,8.09,9.09,9.6
SC,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
SD,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,8.58,8.55
TN,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
TX,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
UT,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
VA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
VT,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.27,7.18,7.04,6.87,6.76,7.25,7.04,6.86,6.67,6.86,7.08,7.71,7.54,7.99,8.44,8.31,8.13,8.55,8.58,8.6,8.69,8.54,8.99,8.84,8.67,8.82,8.83,8.82,9.24,9.6
WA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,7.43,7.78,7.47,7.25,7.04,7.91,7.69,7.47,7.3,7.56,8.19,9.03,9.08,9.18,9.12,9.07,9.0,9.06,9.15,8.97,9.54,9.38,9.22,9.42,9.44,9.42,9.56,9.47
WI,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.68,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.77,7.5,7.22,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
WV,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,6.75,7.28,8.09,7.96,7.71,7.56,7.45,7.33,8.08,8.75
WY,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
